id,size,effort,duration,syear,app,har,dba,Ifc,source,Ian1,Ian2,Ian3,Ian4,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,time,prod
1,562,1062,14,1991,InfServ,PC,Relatnl,GUI,Outsrced,Dbase,,,,1,No,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,7,0.52919
2,647,7871,16,1992,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,8,0.082201
3,130,845,5,1993,TransPro,Mainfrm,Relatni,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,9,0.153846
4,254,2330,8,1990,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Focus,SQL,,,2,No,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,6,0.109013
5,1056,21272,16,1986,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Ada,Cobol,Mps-frms,,3,No,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,2,0.049643
6,383,4224,12,1988,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4,0.090672
7,345,2826,12,1992,TransPro,Multi,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,Telon,4,Yes,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,8,0.122081
8,209,7320,27,1987,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,3,0.028552
9,366,9125,24,1986,TransPro,Mainfrm,Reiatnl,TextUI,Inhouse,Cobol,,,,1,No,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,2,0.04011
10,1181,11900,54,1987,TransPro,Mini,Sequential,TextUI,Outsrced,Cl,RPG,,,2,No,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,3,0.099244
11,181,4300,13,1987,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Focus,Qmf,,,2,No,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,3,0.042093
12,739,4150,21,1990,TransPro,Network,Relatnl,TextUI,Outsrced,,Sql-srvr,,,1,No,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,6,0.178072
13,108,900,7,1991,CustServ,PC,None,TextUI,Inhouse,Cobol,Mps-frms,,,2,No,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,7,0.12
14,48,583,10,1990,CustServ,Network,None,TextUI,Inhouse,Ada,Cobol,Mps-frms,,3,No,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,6,0.082333
15,249,2565,19,1991,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Qmf,,,2,No,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,7,0.097076
16,371,4047,11,1992,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Qmf,,,2,No,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,8,0.091673
17,211,1520,13,1987,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,3,0.138816
18,1849,25910,32,1991,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Telon,SQL,Easytrv,4,Yes,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,7,0.071362
19,2482,37286,38,1989,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,Telon,SQL,4,Yes,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,5,0.066567
20,434,15052,40,1985,CustServ,Multi,Relatnl,TextUI,Inhouse,Ada,Cobol,Mps-frms,SQL,4,No,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,1,0.028833
21,292,11039,29,1987,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,3,0.026452
22,2954,18500,14,1990,CustServ,Multi,Relatnl,TextUI,Inhouse,Ada,Cobol,Easytrv,SQL,4,No,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,6,0.159676
23,304,9369,14,1991,TransPro,Multi,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,7,0.032447
24,353,7184,28,1989,TransPro,Network,Relatnl,TextUI,Outsrced,Clipper,,,,1,No,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,5,0.049137
25,567,10447,16,1992,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Assemblr,Cobol,Easytrv,Telon,4,Yes,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,8,0.054274
26,467,5100,13,1991,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,Telon,,3,Yes,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,7,0.091569
27,3368,63694,45,1987,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,3,0.052878
28,253,1651,4,1992,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Telon,Easytrv,,,2,Yes,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,8,0.153241
29,196,1450,10,1991,ProdCont,Multi,Relatnl,TextUI,Inhouse,C-def,Cobol,Telon,,3,Yes,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,7,0.135172
30,185,1745,12,1992,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,Focus,SQL,4,No,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,8,0.106017
31,387,1798,6,1988,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,4,0.215239
32,430,2957,28,1988,MIS,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,4,0.145418
33,204,963,6,1989,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,5,0.211838
34,71,1233,6,1988,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,4,0.057583
35,840,3240,6,1991,InfServ,Multi,Relatnl,GUI,Outsrced,C-def,Cobol,Ingres,,3,No,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,7,0.259259
36,1648,10000,11,1990,TransPro,Multi,Relatnl,GUI,Outsrced,C-def,Cobol,Ingres,SQL,4,No,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6,0.1648
37,1035,6800,8,1991,TransPro,Multi,Relatnl,GUI,Outsrced,C-def,Cobol,Ingres,SQL,4,No,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,7,0.152206
38,548,3850,22,1985,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,1,0.142338
39,2054,14000,31,1991,CustServ,Multi,Relatnl,TextUI,Inhouse,Cobol,Telon,SQL,,3,Yes,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,7,0.146714
40,302,5787,26,1988,MIS,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Focus,,,2,No,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,4,0.052186
41,1172,9700,22,1993,CustServ,Multi,Relatnl,TextUI,Inhouse,Telon,Easytrv,Cobol,,3,Yes,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9,0.120825
42,253,1100,7,1991,InfServ,Network,Relatnl,GUI,Inhouse,C-def,,,,1,No,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,7,0.23
43,227,5578,14,1992,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,8,0.040696
44,59,1060,6,1992,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,8,0.05566
45,299,5279,6,1991,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,Qmf,Telon,4,Yes,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,7,0.05664
46,422,8117,15,1989,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,5,0.05199
47,1058,8710,9,1990,TransPro,Network,Relatnl,TextUI,Outsrced,C-def,Cobol,SQL,,3,No,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,6,0.12147
48,65,796,9,1990,InfServ,Network,Other,TextUI,Inhouse,Ada,Cobol,Mps-frms,,3,No,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,6,0.081658
49,390,11023,26,1988,CustServ,Multi,Relatnl,TextUI,Inhouse,Cobol,Ada,Mps-frms,,3,No,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,4,0.035381
50,193,1755,13,1990,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,6,0.109972
51,1526,5931,28,1991,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,RPG,Telon,Qmf,4,Yes,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,7,0.257292
52,575,4456,13,1993,CustServ,Multi,Relatnl,TextUI,Inhouse,Cobol,Telon,,,2,Yes,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,9,0.12904
53,509,3600,13,1987,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3,0.141389
54,583,4557,12,1988,MIS,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4,0.127935
55,315,8752,14,1988,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,4,0.035992
56,138,3440,12,1989,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,SQL,,,2,No,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,5,0.040116
57,257,1981,9,1988,TransPro,Multi,Relatnl,TextUI,Inhouse,Cobol,Mps-frms,SQL,,3,No,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,0.129733
58,423,13700,30,1985,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,,,,1,No,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,1,0.030876
59,495,7105,20,1991,MIS,Network,Relatnl,TextUI,Outsrced,C-def,Oracle,SQL,,3,No,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,7,0.069669
60,622,6816,16,1990,CustServ,Multi,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,Telon,4,Yes,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6,0.091256
61,204,4620,12,1992,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,Cobol,Telon,,,2,Yes,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,8,0.044156
62,616,7451,15,1990,CustServ,Multi,Relatnl,TextUI,Inhouse,Ai-tools,Cobol,SQL,Telon,4,Yes,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,6,0.082674
63,3634,39479,33,1991,CustServ,Multi,Relatnl,TextUI,Inhouse,Cobol,Easytrv,SQL,,3,No,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,7,0.092049
